year,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),sex_female,sex_male,age_15-24 years,age_25-34 years,age_35-54 years,age_5-14 years,age_55-74 years,age_75+ years,generation_Boomers,generation_G.I. Generation,generation_Generation X,generation_Generation Z,generation_Millenials,generation_Silent,continent_AF,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA
1987,-0.3916104269697132,6.71,-0.3050504250895752,-0.8508484102097179,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1987,-0.3928630538299331,5.19,-0.3050504250895752,-0.8508484102097179,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1987,-0.39754123169565225,4.83,-0.3050504250895752,-0.8508484102097179,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1987,-0.4660266879921644,4.59,-0.3050504250895752,-0.8508484102097179,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1987,-0.4014780589706291,3.28,-0.3050504250895752,-0.8508484102097179,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1987,-0.4624988817327696,2.81,-0.3050504250895752,-0.8508484102097179,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1987,-0.4003276873643047,2.15,-0.3050504250895752,-0.8508484102097179,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1987,-0.4058494710746618,1.56,-0.3050504250895752,-0.8508484102097179,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1987,-0.43644935580289057,0.73,-0.3050504250895752,-0.8508484102097179,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1987,-0.3920961394257168,0.0,-0.3050504250895752,-0.8508484102097179,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1987,-0.43463432504624544,0.0,-0.3050504250895752,-0.8508484102097179,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1987,-0.3851427821608227,0.0,-0.3050504250895752,-0.8508484102097179,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1988,-0.4622943712249786,5.49,-0.3050714932579946,-0.8522779212981169,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1988,-0.38999990672085905,5.33,-0.3050714932579946,-0.8522779212981169,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1988,-0.46589886892479504,4.48,-0.3050714932579946,-0.8522779212981169,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1988,-0.3913036612080267,4.46,-0.3050714932579946,-0.8522779212981169,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1988,-0.43575913283909595,2.85,-0.3050714932579946,-0.8522779212981169,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1988,-0.3960329667006936,2.71,-0.3050714932579946,-0.8522779212981169,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1988,-0.43389297445550307,2.03,-0.3050714932579946,-0.8522779212981169,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1988,-0.40452015277402026,1.91,-0.3050714932579946,-0.8522779212981169,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1988,-0.40004648541609206,1.79,-0.3050714932579946,-0.8522779212981169,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1988,-0.3988705499962938,1.41,-0.3050714932579946,-0.8522779212981169,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1988,-0.39051118299033655,0.0,-0.3050714932579946,-0.8522779212981169,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1988,-0.3834044428445992,0.0,-0.3050714932579946,-0.8522779212981169,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1989,-0.4658477412978473,8.89,-0.3049276273035621,-0.8488894505700602,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1989,-0.39910062431755866,6.35,-0.3049276273035621,-0.8488894505700602,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1989,-0.39020441722865,4.71,-0.3049276273035621,-0.8488894505700602,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1989,-0.4352734203830923,4.22,-0.3049276273035621,-0.8488894505700602,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1989,-0.3889006627414824,3.71,-0.3049276273035621,-0.8488894505700602,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1989,-0.3978224336438649,2.43,-0.3049276273035621,-0.8488894505700602,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1989,-0.394933722721317,1.67,-0.3049276273035621,-0.8488894505700602,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1989,-0.4035231640485391,0.75,-0.3049276273035621,-0.8488894505700602,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1989,-0.43335613437255166,0.67,-0.3049276273035621,-0.8488894505700602,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1989,-0.38930968375706443,0.0,-0.3049276273035621,-0.8488894505700602,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1989,-0.46214098834413536,0.0,-0.3049276273035621,-0.8488894505700602,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1989,-0.38220294361132706,0.0,-0.3049276273035621,-0.8488894505700602,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1992,-0.3837112086062857,3.49,-0.3060459963432105,-0.8797033562533253,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1992,-0.4041878231988599,3.41,-0.3060459963432105,-0.8797033562533253,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1992,-0.430825316838638,3.13,-0.3060459963432105,-0.8797033562533253,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1992,-0.4088404372511052,2.85,-0.3060459963432105,-0.8797033562533253,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1992,-0.39685100873185764,2.39,-0.3060459963432105,-0.8797033562533253,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1992,-0.4032419621003265,1.5,-0.3060459963432105,-0.8797033562533253,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1992,-0.3890029179953779,0.62,-0.3060459963432105,-0.8797033562533253,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1992,-0.4294448709110487,0.61,-0.3060459963432105,-0.8797033562533253,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1992,-0.38552623936293084,0.0,-0.3060459963432105,-0.8797033562533253,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1992,-0.46170640351507947,0.0,-0.3060459963432105,-0.8797033562533253,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1992,-0.3788285202327755,0.0,-0.3060459963432105,-0.8797033562533253,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1992,-0.465489847909213,0.0,-0.3060459963432105,-0.8797033562533253,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1993,-0.40940284114753045,7.4,-0.3056892166987281,-0.8698556131999107,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1993,-0.42941930709757486,4.24,-0.3056892166987281,-0.8698556131999107,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1993,-0.4654131564687914,4.13,-0.3056892166987281,-0.8698556131999107,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1993,-0.412777264526082,3.91,-0.3056892166987281,-0.8698556131999107,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1993,-0.39866603948850277,3.51,-0.3056892166987281,-0.8698556131999107,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1993,-0.3820495607304838,2.85,-0.3056892166987281,-0.8698556131999107,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1993,-0.4046735356548635,2.67,-0.3056892166987281,-0.8698556131999107,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1993,-0.386932249103994,2.11,-0.3056892166987281,-0.8698556131999107,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1993,-0.42826893549125045,1.18,-0.3056892166987281,-0.8698556131999107,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1993,-0.38460594207787135,0.29,-0.3056892166987281,-0.8698556131999107,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1993,-0.3777804038803466,0.27,-0.3056892166987281,-0.8698556131999107,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1993,-0.4615530206342362,0.0,-0.3056892166987281,-0.8698556131999107,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1994,-0.4653109012148959,8.13,-0.30516802960774264,-0.8560899508671805,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1994,-0.42778322303524685,6.42,-0.30516802960774264,-0.8560899508671805,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1994,-0.46139963775339293,5.01,-0.30516802960774264,-0.8560899508671805,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1994,-0.4124449349509216,2.59,-0.30516802960774264,-0.8560899508671805,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1994,-0.3788540840462494,2.48,-0.30516802960774264,-0.8560899508671805,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1994,-0.4096840430957431,2.48,-0.30516802960774264,-0.8560899508671805,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1994,-0.39935626245229744,2.12,-0.30516802960774264,-0.8560899508671805,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1994,-0.40485248234918064,1.53,-0.30516802960774264,-0.8560899508671805,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1994,-0.3840435381814461,0.58,-0.30516802960774264,-0.8560899508671805,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1994,-0.4269651810040828,0.57,-0.30516802960774264,-0.8560899508671805,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1994,-0.3765533408336006,0.27,-0.30516802960774264,-0.8560899508671805,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1994,-0.38355782572544245,0.0,-0.30516802960774264,-0.8560899508671805,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1995,-0.41206147774881347,5.58,-0.3048661431215158,-0.8487835608598084,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1995,-0.4260960113459711,5.06,-0.3048661431215158,-0.8487835608598084,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1995,-0.46116956343212806,4.9,-0.3048661431215158,-0.8487835608598084,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1995,-0.39912618813103257,4.59,-0.3048661431215158,-0.8487835608598084,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1995,-0.4099396812304818,4.56,-0.3048661431215158,-0.8487835608598084,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1995,-0.4651830821475265,3.98,-0.3048661431215158,-0.8487835608598084,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1995,-0.3755052244811717,3.72,-0.3048661431215158,-0.8487835608598084,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1995,-0.40411113175843827,2.65,-0.3048661431215158,-0.8487835608598084,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1995,-0.3804901681085774,2.24,-0.3048661431215158,-0.8487835608598084,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1995,-0.3753518416003285,1.59,-0.3048661431215158,-0.8487835608598084,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1995,-0.42548247982259807,1.11,-0.3048661431215158,-0.8487835608598084,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1995,-0.3824585817460658,0.57,-0.3048661431215158,-0.8487835608598084,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1996,-0.4651063907071049,7.87,-0.30425359966652316,-0.83332366316305,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1996,-0.40932614970710884,6.98,-0.30425359966652316,-0.83332366316305,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,-0.41144794622544045,5.95,-0.30425359966652316,-0.83332366316305,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,-0.39805250796512975,5.56,-0.30425359966652316,-0.83332366316305,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,-0.46106730817823255,4.85,-0.30425359966652316,-0.83332366316305,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1996,-0.4031141430329571,3.73,-0.30425359966652316,-0.83332366316305,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1996,-0.3745593633826383,3.16,-0.30425359966652316,-0.83332366316305,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1996,-0.3790585945540404,2.49,-0.30425359966652316,-0.83332366316305,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1996,-0.42561029888996743,1.67,-0.30425359966652316,-0.83332366316305,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1996,-0.4247922568588034,0.55,-0.30425359966652316,-0.83332366316305,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1996,-0.3743548528748473,0.53,-0.30425359966652316,-0.83332366316305,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1996,-0.38107813581847655,0.28,-0.30425359966652316,-0.83332366316305,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1997,-0.41126899953112334,15.25,-0.30491058138323984,-0.8510072447750956,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1997,-0.4091216391993178,13.5,-0.30491058138323984,-0.8510072447750956,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1997,-0.4651063907071049,11.81,-0.30491058138323984,-0.8510072447750956,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1997,-0.3742525976209518,7.88,-0.30491058138323984,-0.8510072447750956,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1997,-0.39644198771627565,7.14,-0.30491058138323984,-0.8510072447750956,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1997,-0.4255080436360719,6.66,-0.30491058138323984,-0.8510072447750956,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1997,-0.40158031422452456,5.84,-0.30491058138323984,-0.8510072447750956,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1997,-0.4608372338569677,4.75,-0.30491058138323984,-0.8510072447750956,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1997,-0.3769879256626565,1.89,-0.30491058138323984,-0.8510072447750956,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1997,-0.37910972218098815,1.66,-0.30491058138323984,-0.8510072447750956,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1997,-0.3740736509266347,1.05,-0.30491058138323984,-0.8510072447750956,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1997,-0.4237952681333223,0.0,-0.30491058138323984,-0.8510072447750956,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1998,-0.4650041354532094,11.63,-0.30467171355255745,-0.8453950901317517,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1998,-0.4079968314064673,10.85,-0.30467171355255745,-0.8453950901317517,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1998,-0.3960329667006936,10.83,-0.30467171355255745,-0.8453950901317517,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1998,-0.4101441917382728,10.82,-0.30467171355255745,-0.8453950901317517,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1998,-0.372360875423885,7.47,-0.30467171355255745,-0.8453950901317517,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1998,-0.4246133101644863,4.9,-0.30467171355255745,-0.8453950901317517,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1998,-0.4012224208358903,3.63,-0.30467171355255745,-0.8453950901317517,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1998,-0.42348850237163577,3.19,-0.30467171355255745,-0.8453950901317517,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1998,-0.376476649393179,2.42,-0.30467171355255745,-0.8453950901317517,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1998,-0.37230974779693726,0.51,-0.30467171355255745,-0.8453950901317517,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1998,-0.3785984459115106,0.27,-0.30467171355255745,-0.8453950901317517,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1998,-0.4607861062300199,0.0,-0.30467171355255745,-0.8453950901317517,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1999,-0.4649785716397355,11.58,-0.3041848999300286,-0.83332366316305,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1999,-0.40753668276393756,9.58,-0.3041848999300286,-0.83332366316305,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1999,-0.46076054241654607,9.43,-0.3041848999300286,-0.83332366316305,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1999,-0.37161952483314264,7.93,-0.3041848999300286,-0.83332366316305,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1999,-0.4096584792822692,7.84,-0.3041848999300286,-0.83332366316305,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1999,-0.42425541677585205,7.56,-0.3041848999300286,-0.83332366316305,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1999,-0.3957262009390071,6.4,-0.3041848999300286,-0.83332366316305,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1999,-0.40091565507420385,4.7,-0.3041848999300286,-0.83332366316305,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1999,-0.4233351194907925,3.18,-0.3041848999300286,-0.83332366316305,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1999,-0.37609319219107085,1.34,-0.3041848999300286,-0.83332366316305,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1999,-0.37824055252287636,0.27,-0.3041848999300286,-0.83332366316305,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1999,-0.3715683972061949,0.0,-0.3041848999300286,-0.83332366316305,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2000,-0.41229155207007834,7.33,-0.3040354217377339,-0.8242171480813978,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2000,-0.4262493942268143,5.64,-0.3040354217377339,-0.8242171480813978,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2000,-0.46193647783634434,5.29,-0.3040354217377339,-0.8242171480813978,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2000,-0.46523420977447427,4.02,-0.3040354217377339,-0.8242171480813978,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2000,-0.4041366955719121,2.27,-0.3040354217377339,-0.8242171480813978,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2000,-0.41024644699216833,2.08,-0.3040354217377339,-0.8242171480813978,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2000,-0.38667661096925526,1.51,-0.3040354217377339,-0.8242171480813978,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,-0.4087637458106836,1.22,-0.3040354217377339,-0.8242171480813978,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2000,-0.3758119902428582,1.07,-0.3040354217377339,-0.8242171480813978,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,-0.37576086261591046,0.27,-0.3040354217377339,-0.8242171480813978,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2000,-0.3885938969797959,0.0,-0.3040354217377339,-0.8242171480813978,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2000,-0.4286523926933586,0.0,-0.3040354217377339,-0.8242171480813978,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2001,-0.4188144147160724,10.65,-0.30374049056627356,-0.8161695301022632,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2001,-0.37475722729892613,8.98,-0.30374049056627356,-0.8161695301022632,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2001,-0.42132324737039856,5.59,-0.30374049056627356,-0.8161695301022632,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2001,-0.45951967491052415,4.23,-0.30374049056627356,-0.8161695301022632,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2001,-0.40614626694909345,3.91,-0.30374049056627356,-0.8161695301022632,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2001,-0.40222989072489573,3.32,-0.30374049056627356,-0.8161695301022632,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2001,-0.37696466259239525,3.24,-0.30374049056627356,-0.8161695301022632,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2001,-0.46366356907463935,3.22,-0.30374049056627356,-0.8161695301022632,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2001,-0.4230797369941885,3.16,-0.30374049056627356,-0.8161695301022632,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2001,-0.38939762327541455,1.87,-0.30374049056627356,-0.8161695301022632,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2001,-0.4146508364155823,1.8,-0.30374049056627356,-0.8161695301022632,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2001,-0.3930276847887048,0.65,-0.30374049056627356,-0.8161695301022632,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2002,-0.4636730276856247,12.9,-0.3034829800595899,-0.8097102577769052,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2002,-0.41886503106675066,11.15,-0.3034829800595899,-0.8097102577769052,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2002,-0.3739102981585366,9.16,-0.3034829800595899,-0.8097102577769052,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2002,-0.42095001569367996,6.56,-0.3034829800595899,-0.8097102577769052,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2002,-0.4043496421381495,5.7,-0.3034829800595899,-0.8097102577769052,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2002,-0.40105114328561536,5.07,-0.3034829800595899,-0.8097102577769052,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2002,-0.3757064116932111,4.0,-0.3034829800595899,-0.8097102577769052,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2002,-0.4144171831604311,3.13,-0.3034829800595899,-0.8097102577769052,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2002,-0.4594805622759091,2.11,-0.3034829800595899,-0.8097102577769052,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2002,-0.42259070124243325,2.09,-0.3034829800595899,-0.8097102577769052,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2002,-0.39366831395436014,0.33,-0.3034829800595899,-0.8097102577769052,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2002,-0.38993011751007534,0.31,-0.3034829800595899,-0.8097102577769052,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2003,-0.45905083457141327,12.22,-0.30258049089283395,-0.7859909626805087,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2003,-0.42008340241691555,7.94,-0.30258049089283395,-0.7859909626805087,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2003,-0.3728731742459015,7.25,-0.30258049089283395,-0.7859909626805087,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2003,-0.40175031358412583,5.49,-0.30258049089283395,-0.7859909626805087,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2003,-0.39907275976087214,4.93,-0.30258049089283395,-0.7859909626805087,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2003,-0.42157147199922984,4.6,-0.30258049089283395,-0.7859909626805087,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2003,-0.4190830903956828,4.38,-0.30258049089283395,-0.7859909626805087,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2003,-0.4146073779326767,4.04,-0.30258049089283395,-0.7859909626805087,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2003,-0.3740071850116026,3.41,-0.30258049089283395,-0.7859909626805087,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2003,-0.4632486683819584,3.06,-0.30258049089283395,-0.7859909626805087,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2003,-0.39153271297675263,1.28,-0.30258049089283395,-0.7859909626805087,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
